teacher_id,name,subjects,max_hours_per_day,max_hours_per_week,experience_level,hourly_cost,preferred_time_slots,unavailable_time_slots
T001,Dr. Sarah Smith,"Mathematics,Physics",6,30,5,65,"0,1,2,8,9,10","32,33,34,35,36,37,38,39"
T002,Ms. Jennifer Johnson,"English,Literature,Writing",7,35,4,58,"3,4,5,11,12,13","16,17,18,19,20,21,22,23"
T003,Mr. Robert Brown,"Chemistry,Biology,Science",6,30,3,52,"1,2,3,9,10,11",""
T004,Mrs. Linda Davis,"History,Geography,Social Studies",8,40,4,55,"0,1,2,3,8,9,10,11","24,25,26,27,28,29,30,31"
T005,Mr. Michael Wilson,"Computer Science,Mathematics,Technology",7,35,3,62,"4,5,6,12,13,14",""
T006,Dr. Emily Rodriguez,"Spanish,French,Languages",6,30,5,60,"2,3,4,10,11,12","36,37,38,39"
T007,Mr. David Thompson,"Physical Education,Health,Sports",8,40,2,45,"0,1,2,3,4,5,6,7","32,33,34,35,36,37,38,39"
T008,Ms. Amanda White,"Art,Music,Creative Arts",6,30,3,50,"5,6,7,13,14,15",""
T009,Dr. James Miller,"Advanced Mathematics,Calculus,Statistics",5,25,5,70,"1,2,3,9,10,11","20,21,22,23"
T010,Mrs. Patricia Garcia,"Elementary Science,Environmental Science",7,35,4,53,"0,1,2,8,9,10",""
T011,Mr. Christopher Lee,"Economics,Business Studies",6,30,3,56,"3,4,5,11,12,13","28,29,30,31"
T012,Ms. Jessica Taylor,"Psychology,Sociology",5,25,4,58,"2,3,4,10,11,12",""
T013,Dr. Daniel Anderson,"Advanced Physics,Engineering",6,30,5,68,"1,2,3,9,10,11","24,25,26,27"
T014,Mrs. Karen Thomas,"Library Science,Research Methods",8,40,3,48,"0,1,2,3,4,5,6,7",""
T015,Mr. Mark Jackson,"Drama,Theater Arts,Public Speaking",6,30,2,52,"5,6,7,13,14,15","32,33,34,35,36,37,38,39"
